sentence_num,diff_line,county,state,facemask_prediction
205,Sultan working to get PPE to local businesses The City of Sultan is now taking applications from Sultan businesses for a second round of grants to provide personal protective equipment as part of the - 19 response.,snohomish,Washington,Yes
206,"All businesses licensed within Sultan city limits are eligible to receive packs of masks, gloves, cleaning supplies and hand sanitizer.",snohomish,Washington,Yes
207,Businesses who received PPE packs during the first round are eligible to receive additional supplies during the second round.,snohomish,Washington,Yes
225,This report suggests that reductions in the reproductive number are attributable to statewide policy changes like the June 23 and July 7 mask mandates and pausing county movement with the Safe Start plan.,snohomish,Washington,Yes
236,"COVID - 19 Tues day , June 2 3 , 202 0 INSLEE , WIESMAN ANNOUNCE MANDATORY USE OF FAC IAL COVERINGS STATEWIDE EFFECTIVE FRIDAY, JUNE 26 The wearing of face coverings will be mandatory statewide, effective June 26.",snohomish,Washington,Yes
250,"(All Categories) Businesses and Government COVID-19 Case Count Information COVID-19 Exposure, Symptoms & Treatment COVID-19 Food Establishments COVID-19 Gatherings COVID-19 General Questions COVID-19 Human Service Providers COVID-19 Investigation and Contact Tracing COVID-19 Masks COVID-19 Phase 3 COVID-19 Reopening COVID-19 Resources for Individuals and Families COVID-19 Schools and Childcare COVID-19 Temporary Care Centers COVID-19 Testing COVID-19 Travel COVID-19 $(function(){var widgetContainer = ""widget_3692_7589_1443"";var faqQuestionLink = $("".""",pierce,Washington,Yes
253,"The DJ, musician or musicians will have to comply with all requirements relevant to guests at the wedding, including the need to wear a face covering.",pierce,Washington,Yes
256,"Outdoor ceremonies are limited to 30 people, and at least 6 feet of physical distancing between households is required.What are the current guidelines for venues for wedding receptions?Wedding receptions are currently not allowed in Phase 2 or 3.What are the required safety steps for music at a wedding?The DJ and musicians will have to comply with all requirements relevant to guests at the wedding, including wearing a face covering.",pierce,Washington,Yes
258,"Workers should always wear masks, maintain physical distance of 6 feet, and practice good hygiene: Wash hands, clean surfaces, try to limit your interactions with as few people as possible.What is the occupancy for restaurants in Phase 2?The new guidance caps occupancy at 50% of capacity.",pierce,Washington,Yes
278,"What restrictions are in place at my destination?Some state, local, tribal, and territorial governments have requirements, such as mandatory testing, wearing masks, or quarantine periods.",pierce,Washington,Yes
295,"Register to virtually attend upcoming meetings or view video of previous meetings below.The Restart BR working group is developing recommendations for a series of near-term priorities focused on reopening businesses and restarting economic activity that include:The working group is also working along a parallel path to develop recommendations for a series of medium- to longer-term priorities focused on repositioning and repurposing assets to drive sustained economic activity in this changed economy, with focus areas that include: Scraping from https://www.brla.gov/2215/East-Baton-Rouge-Parish-Coronavirus-Info Increase restrictions surrounding business, services, and gatheringsContinue to stay home except for essential needs and other permitted activities on a limited basis.Everyone must wear a mask or face covering when performing activities in public.Practice social distancing, wash hands often and frequently disinfect surfacesLessened restrictionsFurther opening of business and gatheringsLimited restrictions as needed HealthyBR Medical Advisory Board Issues COVID-19 Business Recommendations The comprehensive document provides guidelines on what to do if an employee might have COVID-19, including recommended number of days for quarantines and sanitization protocols.",east_baton_rouge,Louisiana,Yes
297,"According to a survey commissioned by the Speaker of the Louisiana House of Representatives in mid-July, 76% of respondents said they support a mask mandate.Archived Press ReleasesArchived Around the ParishNews & Media Subscribe Scraping from https://www.brla.gov/CivicAlerts.aspx?AID=570 Immediate and bold action is required by everyone to prevent devastation to our health and economy from the alarming resurgence of the coronavirus in East Baton Rouge Parish and Louisiana.New daily cases in East Baton Rouge Parish have quadrupled in the last month.",east_baton_rouge,Louisiana,Yes
332,"Media ContactSusan Feinberg, MPH Public Information Officer Cambridge Public Health Department 617-665-3833 sfeinberg@challiance.org Case Count 1257 Cambridge residents who have tested positive for COVID-19 99 Confirmed COVID-19 deaths in Cambridge residents *as of 4:00 PM on August 16 View More Details Message from the Public Health Department When going outside, it’s still extremely important to practice physical distancing by staying 6 feet from other people not in your household, wearing a face covering or mask, and washing your hands for at least 20 seconds when you get home.",cambridge,Massachusetts,Yes
421,"عربى مشورة للبقاء في المنزل للمحافظة على سلامت (Stay at Home Advisory) معلومات للسكان كبار السن (Information for Seniors) كيف تحصل على مساعدة غذائية (Food Assistance) خدمات المدينة التي تأثرت بسبب COVID-19 )فيروس الكورونا 19( City Services) مأوى الطوارئ المؤقت في المركز الترفيهى التذكارى للحرب(War Memorial Emergency Shelter) من أجل مساعدة الأفراد والأسر في (Mayor's Disaster Relief Fund) معلومات وإرشادات لتطبيقات صندوق الإغاثة من الكوارث التي يقدمها العمدة (Mayor's Fund Information & Instructions) أمر طارئ يقتضي ارتداء أغطية الوجه (Emergency Face Covering Order) مطلوب قبعات الوجه الأشخاص من سن 5 وما فوق: (Face Coverings Flyer) الإسكان موار (Housing Resources) شهران من الإنترنت المجاني عالي السرعة مقدم من (Free Internet from Comcast) نظرة عامة حول طلب التقديم (Comcast Internet Essentials Information & Application) 中文 待在家中的通知 以保持安全 (Stay at Home Advisory) 针对老年居民的信息 (Information for Seniors) 如何获得食品援助 (Food Assistance) 住房资源 (Housing Resources) 受 COVID-19（2019 冠状病毒）影响的城市服务 (City Services) 设立了市长赈灾基 (Mayor's Disaster Relief Fund) 市长救灾基金申请须知和说明：COVID-19 (Mayor's Fund Information & Instructions) 要求使用口罩之紧急指令 (Emergency Face Covering Order) 5 岁及 5 岁以上人士要求在下列 场所佩戴面罩 (Face Coverings Flyer) 停止传播病菌 (Stop the Spread of Germs) 通过社交疏离 帮助预防2019年新型冠状病毒 (COVID-19) (Social Distancing) 关于冠状病毒疾病 2019 (COVID-19) 您需要知道什么 (What is COVID-19 Fact Sheet) 如果您感染了 冠状病毒疾病 2019 (COVID-19) 该怎么办 (What to Do if Sick with COVID-19) 在战争纪念馆健身中心 设立临时应急避难所 (War Memorial Emergency Shelter) 两个月免费 Comcast高速互 联网服务 (Free Internet from Comcast) Comcast Internet Essentials 申請概覽 (Comcast Internet Essentials Information & Application) Videos June 1 Weekly Update - Amharic June 1 Weekly Update - Haitian Kreyol June 1 Weekly Update - Spanish May 22 Weekly Update - Amharic May 22 Weekly Update - Bangla May 22 Weekly Update - Spanish Scraping from https://www.cambridgema.gov/CDD/News/2020/3/smallbusinesscovid19reliefgrant Cambridge Small Business COVID-19 Relief Grant Scraping from https://www.cpsd.us/cms/One.aspx?portalId=3042869&pageId=69491320 Schools Closed Until May 4th Scraping from https://www.cambridgema.gov/covid19/updates Updates (8/15/20) Library holds pickup service to begin at Central Square Branch the week of August 17 (8/14/20) Free COVID-19 testing location and appointment information for the weeks of August 16 and 23 now available (8/14/20) Cambridge Election Commission Announces Temporary Relocation of 14 Polling Sites in Response to COVID-19 Pandemic (8/14/20) Cambridge Election Commission Announces Temporary Relocation of 14 Polling Sites in Response to COVID-19 Pandemic (8/11/20) Mail-in and In-person Voting Options, Temporary Relocation of Polling Sites, and Designated Early Voting Locations information (8/10/20) City of Cambridge to Relocate Temporary Emergency Shelter at War Memorial Recreation Center to 1575 Cambridge Street (8/10/20) Cambridge Public Library launches pilot program to eliminate overdue fines and fees (8/8/20) Checkout Library technology beginning August 10 (8/7/20) Baker-Polito Administration Announces New Initiatives to Stop Spread of COVID-19 (8/7/20) Cambridge Public Schools shares update on proposal for reopening schools (8/6/20) Free COVID-19 testing location and appointment information for August 12 and 15 is now available (8/6/20) Kids Books to Go event this Saturday, August 8, at Valente Branch (8/5/20) Community members invited to comment on proposed network of Shared Streets (8/4/20) Cambridge Public Schools release updated proposal for reopening schools (8/4/20) Governor Baker removes Rhode Island from list of lower-risk states, effective Friday, August 7 (7/31/20) Free COVID-19 testing location and appointment information for the first week of August is now available (7/30/20) City of Cambridge Amends Temporary Emergency Restrictions on Public Meetings and Events (7/30/20) Free Bluebikes passes for grocery, pharmacy, restaurant, and retail workers (7/29/20) City of Cambridge providing printed guidebooks to the City's 80+ parks and playgrounds (7/29/20) Dashboard detailing assistance provided to Cambridge small businesses now available (7/28/20) Second Shared Streets Community Webinar to be held on August 4 (7/28/20) Update on the Gold Star Pool is now available on the COVID-19 City Services page (7/28/20) Cambridge to Expand Small Business Recycling Program in November 2020 (7/27/20) Vote by Mail in the 2020 Election (7/27/20) Cambridge Awards Over $1 Million in Grants to 106 Area Nonprofitsto Provide Services to Vulnerable Residents during COVID-19 (7/27/20) City of Cambridge Adds New Electric Vehicle Charging Stations for Public Use and Expands Electric Vehicle Fleet (7/24/20) Baker-Polito Administration Issues New Travel Order Effective August 1st (7/24/20) Due to overwhelming demand for testing, Cambridge Public Health Dept.",cambridge,Massachusetts,Yes
