date,sentence,diff_line,business,county,Unnamed: 5,business_prediction,success?
21-Jul,103,"Ability to Protect High-Risk Populations Ability to immediately respond to outbreaks in congregate settings, such as long-term care facilities, behavioral health facilities, agricultural worker housing, homeless shelters and correctional facilities, and address the needs of other high-risk populations, including the elderly and the medically frail, measured by: â€¢ Number of outbreaks in long-term care facilities â€¢ Demographic data, including race/ethnicity data, on COVID-19 cases, hospitalizations and deaths â€¢ Ability of local or state strike teams with adequate PPE to respond to an outbreak within 24 hours Back-to-Business Toolkit | Page 4Safe Start Washington ALL INDIVIDUALS AND BUSINESSES Until there is an effective vaccine, effective treatment or herd immunity, it is crucial to maintain some level of community interventions to suppress the spread of COVID-19 throughout all phases of recovery.",0.0,kitsap,Washington,1,FAIL
,4976,Health care workers or first responders.,0.0,durham,North Carolina,1,FAIL
,2640,Walter E. Hall and Legion Memorial golf courses will also re - open for limited  use on May 5.,1.0,snohomish,Washington,0,FAIL
21-Jul,201,"Employees exhibiting any of these symptoms will be L asked to remain home, isolate, and monitor their symptoms.",0.0,kitsap,Washington,1,FAIL
,7794,"21  References   General health guideline provided by  https://www.cdc.gov/coronavirus/2019 -ncov/community/guidance -business -response.html  Promote etiquette for coughing, sneezing and handwashing provided by  https://www.cdc.gov/healthywater/hygiene/etiquette/coughing_sneezing.html  and  https://www.cdc.gov/handwashing/in dex.html  Face cloth guidance provided by  https://www.cdc.gov/coronavirus/2019 -ncov/prevent -getting -sick/diy -cloth -face -coverings.html  General reopening guidance provided by  https://idph.iowa.gov/Portals/1/userfiles/61/covid19/IDPH%20Reopening%20Guidance%204_2 7_20.pdf Cleaning an d disinfection for community facilities provided by  https://www.cdc.gov/coronavirus/2019 -ncov/community/organizations/cleaning -disinfection.html  Symptoms of COVID -19 information provided by  https://www.cdc.gov/coronavirus/2019 -ncov/symptoms -testing/symptoms.html  Iowa Department of Public Health face cloth guidanc e provided by  https://idph.iowa.gov/Portals/1/userfiles/7/COVID -19%20Guidance%20for%20Cloth%20Face%20Coverings4_6_20.pdf  Groups at hi gher risk for severe illness guidance provided by  https://www.cdc.gov/coronavirus/2019 -ncov/need -extra -precautions/groups -at-higher -risk.html  Guidan ce for Iowa businesses experiencing COVID -19 outbreaks among employees provided by  https://idph.iowa.gov/Portals/1/use rfiles/61/covid19/Guidance%20for%20businesses%20COVID %20Outbreak%204_24_20%28AC%29.pdf  Iowa Department of Public Health employee messaging provided by  https://idph.iowa.gov/Portals/1/userfiles/7/In%20the%20Workplace%2011x17%2004162020.pdf  Workplace leave policies provided by  https://www.cdc.gov/coronavirus/ 2019 -ncov/community/guidance -business -response.html  Department of Labor guidance provided by  https://www.dol.gov/coronavirus  Equal Employment Opportunity Commission guidance provided by   https://www.eeoc.gov/coronavirus  Cleaning and disinfecting your facility guidance provided by   https://www .cdc.gov/coronavirus/2019 -ncov/community/disinfecting -building -facility.html  22  EPA -registered household cleaners guidance provided by  https://www.epa.gov/p esticide -registration/list -n-disinfectants -use -against -sars -cov -2 Opening restaurants/bars in Iowa i nformation provided by  https://dia.io wa.gov/document/iowa -restaurant -reopening -criteriaoperation -restrictions -during -covid -19 Manufacturing, distribution and construction reopening i nformation provided by  https://coronavirus.ohio.gov/wps/portal/gov/covid -19/responsible -restart -ohio/sector -specific -operating -requirements/sector -specific -operating -requirements  Consumer, retail  and services i nformation provided by  https://coronavirus.ohio.gov/wps/portal/gov/co vid -19/responsible -restart -ohio/sector -specific -operating -requirements/sector -specific -operating -requirements  General office environments i nformation provided by  https://coronavirus.ohio.gov/wps/portal/gov/covid -19/responsible -restart -ohio/sector -specific -operating -requirements/sector -specific -operating -requirements  Guidance for gyms and  workout facilities provided by  https://www.tn.gov/governor/covid -19/economic -recovery/exercise -facilities -guidelines.html     Updated 5/28/2020  - 1           Polk County Health Department Athletic Guidance   If a student/coach is screened prior to  practice and they are experiencing  a fever that is 100.4 or  higher and/or are experiencing other COVID -19 symptoms , the individual  should do the following:   Immediately isolate from team and be sent home.",0.0,polk,Iowa,1,FAIL
21-Jul,106,"Each phase, while allowing for additional services to open and return to full capacity, is grounded in the following required basic practices: Guidance for Individuals All phases â€“ Individuals should continue to: â€¢ Engage in physical distancing, staying at least six feet away from other people â€¢ Wear cloth face coverings in public places when not eating or drinking (cloth face coverings should not be placed on children younger than 2 years of age, anyone who has trouble breathing, or is unconscious, incapacitated or otherwise unable to remove the cover without assistance) â€¢ Stay home if sick â€¢ Avoid others who are sick â€¢ Wash hands frequently with soap and water (use hand sanitizer if soap and water are not available) â€¢ Cover coughs and sneezes â€¢ Avoid touching eyes, nose and mouth with unwashed hands â€¢ Disinfect surfaces and objects regularly Requirements for All Employers All phases â€“ Employers are required to: â€¢ Maintain the six-foot physical distancing requirements for employees and patrons.",0.0,kitsap,Washington,1,FAIL
21-Jul,300,They are needed by health care workers and first responders.,0.0,kitsap,Washington,1,FAIL
21-Jul,209,A Office.,1.0,kitsap,Washington,0,FAIL
,15105,"The MOU goes on to addre ss  use of sick leave after 14 days, and the ability to borrow against future sick leave.",1.0,polk,Iowa,0,FAIL
21-Jul,108,â€¢ Provide services while limiting close interactions with patrons.,1.0,kitsap,Washington,0,FAIL
,17151,"OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION16 Consider using PAPRs or SARs, which are more protective  than Ëœltering facepiece respirators, for any work operations  or procedures likely to generate aerosols (e.g., cough  induction procedures, some dental procedures, invasive  specimen collection, blowing out pipettes, shaking or  vortexing tubes, Ëœlling a syringe, centrifugation).",0.0,polk,Iowa,1,FAIL
21-Jul,210,"Before we sit down in the office, we will sanitize keyboards, computer mouse, and desk area.",1.0,kitsap,Washington,0,FAIL
,12858,EMS Branch   CIEMSD Recent Accomplishments  Primary alternative (Phase 1) housing location for emergency services is  open and ready to receive responders  Confirmed process for exposure reporting for EMS providers/HC  workers  Childcare options and process has been developed and distributed to all  organizations  Support and communicate 211 and other mental health resources for  emergency responders  Confirmed the logistics app is working  Approval of medical directors to implement assess and refer protocol  Airway Management Diversion Protocol  implemented  Assess and refer protocol approved and disseminated 29 Our success is measured by how well we help others succeed.,0.0,polk,Iowa,1,FAIL
,7193,Notify customers by signage to report concerns of social distancing infractions to the  restaurant manager.,0.0,polk,Iowa,1,FAIL
,4407,"For mo re information, please read the   Proclamation :  https://www.governor.wa.gov/sites/default /files/proclamations/20 - 25%20Coronovirus%20Stay%20Safe - Stay%20Healthy%20%28tmp%29%20%28002%29.pdf   For questions and petitions, please refer all inquiries to:   business@mil.wa.gov   How to Address  Violations of  the    rder         we encourage you to respectfully share  your concerns with the business, organization, or individual that is not  abiding by   the new rules.",0.0,snohomish,Washington,1,FAIL
,8010,"When choosing  cleaning chemicals, employers should consult information  on Environmental Protection Agency (EPA)-approved  disinfectant labels with claims against emerging viral  pathogens.",0.0,polk,Iowa,1,FAIL
,14499,"Logistics Section   Dutch Geisinger, Safeguard Iowa 23 Recent Accomplishments  Assisted in reaching out to  LTC facilities for PPE needs  Added to Q&A on  safeguardiowa.org  Monitoring federal trends  through FEMA CIKR and  CISA calls  Working with OSHA and DOL  to answer questions for private  sector  Objectives  Addressing concerns from  private  sector  Continue adding to scam and  FAQ page  Discussion with IEDA on  recovery and messaging to  businesses  Continue to support private  sector and government  requests for resources Our success is measured by how well we help others succeed.",0.0,polk,Iowa,1,FAIL
21-Jul,208,A logbook will be kept in each bathroom and reminders set at each hour.,1.0,kitsap,Washington,0,FAIL
21-Jul,162,"This might include trips to the grocery store, pharmacy, hardware store, health clinic, or similar places.",1.0,kitsap,Washington,0,FAIL
21-Jul,350,"NEW: Resources to address substance use disorder (SUD) and the opioid crisis, visit Rural Community Toolbox ruralcommunitytoolbox.org.4) Rural Customer For-Profit Businesses: Corporations, Limited Liability Companies, sole proprietorships, Lenders, etc.",0.0,pottawattamie,Iowa,1,FAIL
21-Jul,157,"Review your policies or create new ones for telecommuting from home, flexible work hours, staggering shifts, meeting requirements, and travel options where applicable.",1.0,kitsap,Washington,0,FAIL
21-Jul,348,"To learn about USDAâ€™s COVID-19 response for rural communities, visit rd.usda.gov/coronavirus.",1.0,pottawattamie,Iowa,0,FAIL
21-Jul,347,"For more information on the immediate actions USDA is taking to respond to COVID-19, visit usda.gov/coronavirus.",1.0,pottawattamie,Iowa,0,FAIL
,4093,"Employers must provide cloth facial  coverings to employees, unless their exposure dictates a higher level of protection  based on  safety and health   rules and guidance  from the  Department of Labor and Industries  (L&I) .",0.0,snohomish,Washington,1,FAIL
,8642,Members of the public and e mployees should consider the use of  cloth face coverings  (when practical) if staying at least 6 feet aw ay from others is not possible.,1.0,polk,Iowa,0,FAIL
21-Jul,346,Opportunities are categorized by customer and assistance type.,0.0,pottawattamie,Iowa,1,FAIL
21-Jul,345,This resource matrix organizes funding opportunities identified in stimulus bills and other federal resources that can help support rural America.,1.0,pottawattamie,Iowa,0,FAIL
21-Jul,233,Pin this post to the top of your MEDIA page so customers see it first.,0.0,kitsap,Washington,1,FAIL
21-Jul,249,Households can apply by: ï‚· Applying online at WashingtonConnection.org and then calling the Customer Service Contact Center at 877-501-2233 to complete the required interview.,0.0,kitsap,Washington,1,FAIL
21-Jul,55,But you still need to practice healthy habits like: Healthcare workers and ï¬,0.0,pierce,Washington,1,FAIL
21-Jul,251,ï‚· Please be aware that the Customer Service Contact Center is experiencing very high call volumes and you may have a long wait time.,0.0,kitsap,Washington,1,FAIL
,12546,Is s/he a healthcare worker?,0.0,polk,Iowa,1,FAIL
21-Jul,156,"Think about what this means for break rooms, cafeterias, shift meetings, group tasks, client meetings, etc.",1.0,kitsap,Washington,0,FAIL
21-Jul,339,â€œThe sick crew member is receiving great care at PeaceHealth and the Health Department is working with the company and our public health and healthcare partners to quickly and comprehensively address this outbreak.â€,1.0,whatcom,Washington,0,FAIL
,11414,"Housing Group   Eric Kool, Polk County  Comm , Family, Youth  Services Recent Accomplishments  Identified  discharge transportation options  Approved alternative  housing for Polk County essential  employees  Distributed a memo to hospitals and clinics regarding the  isolation shelter and direct referrals  Supported the completion of the FEMA Non - Congregate Housing  application  Added staff to support PCHD CD Team to address questions of  isolation families  Draft memos to PCHD for resource and referrals for family  isolation and homeless PUI individuals 23 Our success is measured by how well we help others succeed.",0.0,polk,Iowa,1,FAIL
21-Jul,235,"This is a BLAST great time to give your email subscribers an exclusive, members-only discount or coupon to bring them back in!",1.0,kitsap,Washington,0,FAIL
21-Jul,167,"If it increases to 100.4Â°F or higher, the employee must immediately isolate themselves and watch for symptoms.",0.0,kitsap,Washington,1,FAIL
21-Jul,328,"Deaf or hard of hearing customers, please call 711 (Washington Relay) or email civil.rights@doh.wa.gov.",0.0,kitsap,Washington,1,FAIL
21-Jul,132,The industries listed are not an exclusive or exhaustive list of industries.,1.0,kitsap,Washington,0,FAIL
,7057,"Currently, the CDC has  set  the temperature of 100.4 as a guidepost for medical workers .",0.0,polk,Iowa,1,FAIL
21-Jul,164,Employee Body Temperatures.,0.0,kitsap,Washington,1,FAIL
,14212,"Asking public  to  ride only when  needed to conduct essential business or access essential services   as well as   to   not ride when sick , cover coughs and  maintain social distancing .",0.0,polk,Iowa,1,FAIL
21-Jul,338,"â€œWhile itâ€™s concerning to see positive COVID cases in a communal setting like this, the company has a planned response and is proactively working to test and protect other crew members,â€",1.0,whatcom,Washington,0,FAIL
,8338,"If you are sick with COVID - 19, you should not go to work until you have talked to your doctor and  state  or local health department.",1.0,polk,Iowa,0,FAIL
21-Jul,334,American Seafoods is proactively taking other crew members who were close contacts to a quarantine facility in King County and retesting them.,1.0,whatcom,Washington,0,FAIL
21-Jul,335,"According to American Seafoods, the company has a response plan in the event of COVID-19 and it was activated.",1.0,whatcom,Washington,0,FAIL
,5257,You must wear a facecovering to enter our store.,1.0,buncombe,North Carolina,0,FAIL
,5664,"Restart BR:   Business Roundtable  Economic Recovery  Group     Meeting Agend a |  2   p.m.  June  17 , 2020     I.",0.0,east_baton_rouge,Louisiana,1,FAIL
,16780,"When choosing  cleaning chemicals, employers should consult information  on Environmental Protection Agency (EPA)-approved  disinfectant labels with claims against emerging viral  pathogens.",0.0,polk,Iowa,1,FAIL
21-Jul,337,American Seafoods is working closely with the Whatcom County Health Department to develop additional strategies to mitigate and prevent further spread of the disease.,1.0,whatcom,Washington,0,FAIL
21-Jul,82,What kinds of government assistance might you be able to access?,0.0,kitsap,Washington,0,SUCCESS
21-Jul,81,"Here are some things to consider as you begin: What inventory, supplies, equipment, and other items do you have or need?",0.0,kitsap,Washington,0,SUCCESS
21-Jul,84,Do you need to change the way you operate?,0.0,kitsap,Washington,0,SUCCESS
21-Jul,83,"What's the feedback from employees, customers, suppliers, and creditors/investors?",1.0,kitsap,Washington,1,SUCCESS
21-Jul,88,What online updates and notifications will you need to do?,0.0,kitsap,Washington,0,SUCCESS
21-Jul,95,"COVID-19 DISEASE ACTIVITY Before reopening Washington and modifying physical distancing measures, COVID-19 disease burden must be low and decreasing as measured by: Number and trend of COVID-19 cases, hospitalizations and deaths in Washington State Modeling data, including Institute for Disease Modeling on Puget Sound area rates of COVID-19 spread, University of Washington Institute for Health Metrics and Evaluation modeling, and Youyang Gu modeling Mobility trends in Washington State, including WSDOT traffic data and Google Mobility Data READINESS AND CAPABILITIES NEEDED The Department of Health and local public health officials will monitor data to assess our stateâ€™s readiness for safely reopening and modifying physical distancing measures.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,98,"The overall goals for each area, along with the pertinent data that will be considered, are detailed below.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,97,"The four key areas include healthcare system readiness, testing capacity and availability, case and contact investigations, and ability to protect high-risk populations.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,96,"In addition to a low and decreasing disease burden, readiness must be achieved in four key areas to proceed from where we are now in the â€œStay Home, Stay Healthyâ€",0.0,kitsap,Washington,0,SUCCESS
21-Jul,87,How will you implement safety standards for your employees and customers?,1.0,kitsap,Washington,1,SUCCESS
21-Jul,85,Have any of your key customers and/or suppliers been affected and how will that impact your business?,1.0,kitsap,Washington,1,SUCCESS
21-Jul,94,"The plan involves assessing COVID-19 activity in the state along with health care system readiness, testing capacity and availability, case and contact investigations, and ability to protect high-risk populations.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,93,"This approach reduces the risk of COVID-19 to Washingtonâ€™s most vulnerable populations and preserves capacity in our health care system, while safely opening up businesses and resuming gatherings, travel, shopping, and recreation.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,91,"It may or may not be a standard or a regulation, and it neither creates new legal obligations nor supersedes existing obligations.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,86,What process will you put in place for your cleaning and disinfection process?,0.0,kitsap,Washington,0,SUCCESS
21-Jul,99,Back-to-Business Toolkit | Page 3Safe Start Washington 1.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,89,How will you market and advertise your reopening?,1.0,kitsap,Washington,1,SUCCESS
,10401,Drink water / healthy  foods Hazardous Weather Outlook 58 Our success is measured by how well we help others succeed.,0.0,polk,Iowa,0,SUCCESS
21-Jul,101,"Testing Capacity and Availability Ability for everyone with COVID-19 symptoms and those with high-risk exposures to be tested immediately using a polymerase chain reaction (PCR) test and rapidly receive test results as measured by: â€¢ Geographic distribution of testing sites and ability to serve the entire populationNumber and capacity of laboratories in Washington performing COVID-19 testing â€¢ Availability of sufficient swabs, viral transport media, lab reagents, and other materials required for COVID-19 testing â€¢ Number of tests performed per day 3.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,128,"During that time, the Department of Health and the Governor will re-evaluate the above indicators and determine if the state should remain in the current phase, advance to the next phase or return to the previous phase.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,129,"No phase will last less than three weeks before moving to the next phase, in order to allow one complete disease incubation period plus an additional week to compile complete data and confirm trends.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,130,The following table shows the phased approach for reopening businesses and resuming activities not authorized under Proclamation 20-25.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,131,This phased approach may be adjusted as the pandemic evolves.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,133,Businesses listed in each phase of the plan will have industry-specific guidance and safety criteria developed to ensure workplace safety and public health are maintained.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,134,Those business activities are not authorized to open until the industry-specific guidance and safety criteria are issued.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,135,A number of different factors were considered when deciding which activities could be resumed and which businesses could be reopened in various phases.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,136,These factors included: â€¢ Risk of disease spread during the individual or business activity â€¢ Number of people who could potentially be infected during the individual or business activity â€¢ Economic benefits to opening the business â€¢ Individual benefits to opening the business Additional plans for a phased approach to restarting health care and educational activities are under development.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,137,"Families are adjusting to a new way of life, and we understand the impact this is having on them.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,138,"The connection between education, childcare, youth sports, summer programs and extracurricular activities is critical and must be viewed from a holistic lens to ensure equity and high quality of life.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,139,"As we prepare for what the reopening of school looks like, we will be working closely with the Department of Health, Office of the Superintendent for Public Instruction, Department of Children, Youth and Families, and parents to release plans in the future.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,140,"While childcare is currently an essential business activity and a key component to the reopening plan, we know there is more to do.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,141,The state will continue efforts to ensure adequate access and affordability for families.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,142,Back-to-Business Toolkit | Page 7 Safe Start Washington Back-to-Business Toolkit | Page 8GET PREPARED - Update Your Policies HR Policies (Excerpts from the CDC website) Review human resources policies to make sure that policies and practices are consistent with public health recommendations and are consistent with existing state and federal workplace laws.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,143,Sick Leave Ensure that sick leave policies are flexible and consistent with public health guidance and that employees are aware of and understand these policies.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,144,Maintain flexible policies that permit employees to stay home to care for a sick family member or take care of children due to school and childcare closures.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,145,Additional flexibilities might include giving advances on future sick leave and allowing employees to donate sick leave to each other.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,127,The state will stay in every phase for a minimum of three weeks.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,126,"When COVID-19 disease burden is low and decreasing and the four above capabilities are met, the Governor will issue an order for the state to move into future phases.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,124,"Businesses are also expected to implement any additional requirements developed specifically for their industry, such as those that have been established for construction.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,123,"Our shared goal is to establish clear requirements that everyone can understand and apply â€” employers, workers and customers.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,102,"Case and Contact Investigations Ability to rapidly isolate those with COVID-19, identify and quarantine their contacts, and provide case management services as measured by: â€¢ Number of investigators trained and working â€¢ Plans for case management â€¢ Availability of isolation and quarantine facilities in local jurisdictions â€¢ Percent of cases investigated within 24 hours of receipt of positive test report â€¢ Percent of contact investigations initiated within 48 hours of receipt of positive test report 4.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,104,"This includes heightened protections for the health and safety of workers in essential sectors, people living and working in high-risk facilities (e.g., senior care facilities) and all other workers.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,105,All Washingtonians have a responsibility to protect themselves and others.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,107,Adopt other prevention measures such as barriers to block sneezes and coughs when physical distancing is not possible for a particular job task.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,109,"â€¢ Provide adequate sanitation and personal hygiene for workers, vendors and patrons.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,110,Ensure employees have access to hand washing facilities so they can wash their hands frequently with soap and running water.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,111,"Back-to-Business Toolkit | Page 5Safe Start Washington â€¢ Ensure frequent cleaning and disinfection of the business, particularly of high-touch surfaces.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,112,â€¢ Identify personal protective equipment (PPE) and cloth facial coverings in accordance with L&I requirements on facial coverings and industry specific COVID-19 standards.,0.0,kitsap,Washington,0,SUCCESS
21-Jul,100,"Health Care System Readiness Adequate bed capacity, staffing and supplies in the health care system to handle a surge in COVID-19 cases, measured by: â€¢ Number and percentage of licensed beds and ICU beds available in hospitals â€¢ Number of available ventilators â€¢ Days of personal protective equipment (PPE) supply available at hospitals, long-term care facilities, and other health care settings â€¢ Ability of the state to fill high priority PPE requests from local emergency management agencies â€¢ Ability of hospitals and other health care facilities to surge and coordinate movement of patients 2.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,113,Provide the necessary PPE and supplies to employees.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,115,Follow CDC cleaning guidelines to deep clean after reports of an employee with suspected or confirmed COVID-19 illness.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,116,This may involve the closure of the business until the location can be properly disinfected.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,117,â€¢ Educate employees about COVID-19 in a language they best understand.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,118,"The education should include the signs, symptoms and risk factors associated with COVID-19 and how to prevent its spread.",0.0,kitsap,Washington,0,SUCCESS
21-Jul,119,"â€¢ On a case-by-case basis, as directed by federal, state and local public health and workplace safety officials, implement other practices appropriate for specific types of businesses, such as screening of employees for illness and exposures upon work entry, requiring non-cash transactions, etc.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,120,â€¢ Follow requirements in Governor Insleeâ€™s Proclamation 20-46 High-Risk Employees â€“ Workersâ€™ Rights.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,121,"â€¢ Keep a safe and healthy facility in accordance with state and federal law, and comply with COVID-19 worksite-specific safety practices, as outlined in Governor Insleeâ€™s â€œStay Home, Stay Healthyâ€",0.0,kitsap,Washington,0,SUCCESS
21-Jul,122,â€¢ Challenge Seattle and the Washington Roundtable have developed a business checklist which is a great starting point for businesses as they prepare for a Safe Start.,1.0,kitsap,Washington,1,SUCCESS
21-Jul,80,"Remember, we only have one shot at opening correctly and each business' actions will have a profound effect on whether everyone gets shut down again.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,114,"â€¢ Identify strategies for addressing ill employees, which should include requiring COVID-19 positive employees to stay at home while infectious, and potentially restricting employees who were directly exposed to the COVID-19 positive employee.",1.0,kitsap,Washington,1,SUCCESS
21-Jul,51,N95 masks?,0.0,pierce,Washington,0,SUCCESS
21-Jul,77,"O T - K C A B S S E N I S U B toolkitPage 3 Safe Start Washington Plan Page 9 Get Prepared Page 10 Planning Page 12 Online Assessment Page 14 Printable Posters Signage Page 20 Training Resources Page 25 Other Resources Page 37 Links and Resources Dear Business Owner, This year of COVID-19 is anything but business as usual and is truly uncharted territory for you, your employees, and your customers.",1.0,kitsap,Washington,1,SUCCESS
,6043,Coordinate with BRAC and industry groups to mitigate high or varying price points for PPE through  pooled purchasing within and across industries and taking advantage of bulk buying opportunities.,0.0,east_baton_rouge,Louisiana,0,SUCCESS
,6435,Approval of May  13   Meeting Minutes   Jim  Bernhard   Erin Monroe Wesley     III.,0.0,east_baton_rouge,Louisiana,0,SUCCESS
,8447,This involves both dealing with our inner world  Å’ all our difficult thoughts and feelings  - and  our outer world  Å’ all the real problems w e are facing.,0.0,polk,Iowa,0,SUCCESS
