category,diff_line,county,state
,Updates will be made as new information is available on the Whatcom County Health Department website and the Washington State coronavirus website.,whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us ###,whatcom,Washington
,"WHATCOM COUNTY   Erika Lautenbach, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 19, 2020                 Media Contact:        Claudia Murphy, Public Information Officer Phone:                      (360) 815-2701 E-mail address:       WUC_PIO@co.whatcom.wa.us                                          First Whatcom County Resident Dies From Coronavirus (COVID-19) BELLINGHAM, WA – Today a Whatcom County resident who tested positive for COVID-19 has died.",whatcom,Washington
,The individual was a male in his 60s.,whatcom,Washington
,"“Our sympathies go to his family and friends.” said Greg Stern, Whatcom County Health Officer.",whatcom,Washington
,“It is deeply saddening to lose a member of our community in this way.” The individual was a patient at PeaceHealth St. Joseph Medical Center.,whatcom,Washington
,PeaceHealth confirmed that proper respiratory precautions were used by caregivers during his admission.,whatcom,Washington
,The Whatcom County Health Department is working to identify all those who may have come in contact with the confirmed case.,whatcom,Washington
,"Close contacts may include family members, co-workers, emergency responders and others.",whatcom,Washington
,These people will be closely monitored for symptoms to avoid further spread of this virus.,whatcom,Washington
,"While most cases of COVID-19 are mild to moderate, approximately 15% of people infected with the virus that causes COVID-19 will have serious illness.",whatcom,Washington
,"It is vitally important that people are taking steps to protect our family members, friends and neighbors from this infection.",whatcom,Washington
,Everyone should stay home as much as possible and limit their exposure to others.,whatcom,Washington
,"If you are at risk for severe disease, it is especially important to take the necessary steps to limit potential exposure.",whatcom,Washington
,Vulnerable individuals should stay home as much as possible.,whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information is available on the Whatcom County Health Department website and the Washington State coronavirus website.,whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us  ###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Erika Lautenbach, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE April 8, 2020                       Media Contact:          Claudia Murphy, Public Information Officer, Whatcom Unified Command Phone:                        (360) 815-2701 E-mail address:         WUC_JIC@co.whatcom.wa.us Bellingham Farmers Market to Open April 11 with Support of Whatcom County Health Department BELLINGHAM, WA – The Bellingham Farmers Market will be opening for the season on Saturday, April 11th.",whatcom,Washington
,"Farmers Markets are listed as essential businesses, just like grocery stores, under the Governor’s Stay Home, Stay Healthy Order.",whatcom,Washington
,The Farmers Market is a critical link in our food system and an essential way residents can get groceries and support our local farms.,whatcom,Washington
,The Bellingham Farmers Market has worked with the Whatcom County Health Department to create new safety measures similar to grocery stores to help slow the spread of COVID-19.,whatcom,Washington
,"If you have concerns about visiting the Bellingham Farmers Market, you can choose to stay home.",whatcom,Washington
,"You should also stay home if you are sick, or have any symptoms associated with COVID-19, such as fever, cough or shortness of breath.",whatcom,Washington
,Those who choose to visit the Farmers Market should treat it as if they are going to the grocery store:   Maintain six feet between yourself and others.,whatcom,Washington
,  Don’t linger in one area.,whatcom,Washington
,"  If a vendor has multiple people waiting, visit another vendor while you are waiting for them to assist other customers.",whatcom,Washington
,"  When possible, have only one household member attend the market to allow for better physical distancing.",whatcom,Washington
,"  Wear a face covering, such as a cloth mask or a bandana.",whatcom,Washington
,"Access to the market will be limited to a single entry and exit point, and market staff will be limiting the number of customers into the market to allow for physical distancing practices to be followed.",whatcom,Washington
,(More…),whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health WHATCOM COUNTY   Erika Lautenbach, Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,"“The Whatcom County Health Department recognizes the need to provide safe, healthy food while maintaining physical distancing.” said Tom Kunesh, WCHD Food Program Supervisor.",whatcom,Washington
,"“The Bellingham Farmers market developed a plan for limited market operation beginning April 11th that the Whatcom County Health Department has reviewed and approved.” In addition to all regularly-required food safety regulations, this new plan includes the following required protocols:   Customers will not be allowed to handle produce or products before buying.",whatcom,Washington
,"Vendors will bag all purchases and will be washing, sanitizing or changing gloves before touching food, or after handling money, phones or any non-food surface.",whatcom,Washington
,  Food sampling will be suspended.,whatcom,Washington
,  Non-essential services such as non-food vendors and entertainment will be suspended.,whatcom,Washington
,  Additional hand-washing stations will be placed around the market.,whatcom,Washington
,  Vendor booths will be spread out to allow for increased physical distancing.,whatcom,Washington
,Vendor booths will also be roped off to create a space boundary between vendor tables and customers.,whatcom,Washington
,  Bellingham Farmers Market staff and vendors are required to wear cloth face coverings.,whatcom,Washington
,Whatcom County Health Department recommends everyone attending the market to wear cloth face coverings in public.,whatcom,Washington
,"In these difficult and uncertain times, Whatcom County needs a strong local food system.",whatcom,Washington
,Revenue from the Farmers Market supports our food producers and ensures our community continues to have the food we need.,whatcom,Washington
,"By supporting local farmers, we are supporting and sustaining our local food system, which is vital to the health of Whatcom County.",whatcom,Washington
,"In addition to the Farmers Market, there are other ways to support our local food economy.",whatcom,Washington
,"Consider supporting local farmers through a Community Supported Agriculture (CSA) Share, or by buying directly from the farm.",whatcom,Washington
,"Remember, stay home except for essential trips.",whatcom,Washington
,"Essential trips include grocery shopping, medical appointments or picking up medications, and traveling to essential jobs.",whatcom,Washington
,"Together, we can all do our part to slow the spread.",whatcom,Washington
,"(###) 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY    Kathleen Roy, Assistant Director Health Department Greg Stern, M.D., Health Officer",whatcom,Washington
,Media Contact:        Whatcom County Health Department Public Information Officer Phone:                      (360) 393-2969 E-mail address:       health-pio@co.whatcom.wa.us                                                Whatcom County public schools Closing to Slow Spread of COVID-19,whatcom,Washington
,"BELLINGHAM, WA – In alignment with Governor Inslee's announcement, the Whatcom County Health Department is recommending Whatcom County schools to close by March 17 through at least April 24, 2020.",whatcom,Washington
,"Community measures, such as cancellation of events and other large gatherings, are most effective at reducing the spread of COVID-19 when implemented early in an outbreak or epidemic.",whatcom,Washington
,They are also more restrictive and disruptive than individual actions that are also critical to slowing spread.,whatcom,Washington
,"On March 6, the Health Department recommended that businesses and organizations cancel or postpone non-essential events.",whatcom,Washington
,We are seeing increased spread of COVID-19 in our region and confirmation of our previous assumption that it was in our community.,whatcom,Washington
,These school closures are coordinated throughout the state of Washington.,whatcom,Washington
,"It is important to slow the spread in order to have fewer people requiring hospitalization and critical care at one time, and to continue to be able to provide intensive medical care for complicated COVID-19 infections, as well as other critical medical conditions.",whatcom,Washington
,"In making these decisions, we understand the significant burden that these infection control measures have on our community.",whatcom,Washington
,We have consulted with the superintendents of Whatcom County public schools to address the consequences of recommended school closures.,whatcom,Washington
,"We have considered the impact on student learning, the continuation of nutrition services, childcare for working parents, and the needs of our homeless students.",whatcom,Washington
,We will continue to address these with our school and other community partners.,whatcom,Washington
,"“Working together to slow the spread of pandemic COVID-19 requires timely, burdensome, and disruptive measures, and we also need to prepare to support those affected adversely by these actions.",whatcom,Washington
,"Our overall goal is to minimize damage from the pandemic and assure we are able to recover as quickly and as fully as possible when it is over,” said Greg Stern MD, Whatcom County Health Officer.",whatcom,Washington
,"In addition to school closures, Governor Inslee expanded the prohibition on large gatherings of more than 250 people to include the entire state.",whatcom,Washington
,Additional details will be available on the Whatcom County Health Department’s website at https://www.whatcomcounty.us/covid.,whatcom,Washington
,"### 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street   360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"MEDIA ADVISORY FOR IMMEDIATE RELEASE                        April 14, 2020 Media Contact:         Claudia Murphy, Public Information Officer Phone:                     (360) 815-2701 E-mail address:        WUC_JIC@co.whatcom.wa.us County Health Director recommends summer event cancellations; Aligns with Whatcom Unified Command to prevent spread of COVID-19 BELLINGHAM, WA – Whatcom Unified Command (WUC), which includes the Whatcom County Health Department as a lead partner, is working to prevent and mitigate the spread of COVID-19 locally.",whatcom,Washington
,"Consistent with that key objective, and in line with recent simulation models, the Health Department recommends cancellation of summer events throughout Whatcom County.",whatcom,Washington
,"In a letter to community leaders today, April 14, Erika Lautenbach, Whatcom County Health Department director, noted that work already underway to mitigate the spread of COVID-19 has been showing results.",whatcom,Washington
,"“We see positive effects of the efforts to contain the virus, in large part due to the social distancing measures put into place in March,” said Lautenbach.",whatcom,Washington
,"Governor Jay Inslee initially announced his Stay Home, Stay Healthy order on March 23; on April 2, he extended the order through May 4.",whatcom,Washington
,"Modeling presented by the Health Department on April 13 indicate Whatcom County is ""on the downside of the first wave of COVID-19 spread locally.",whatcom,Washington
,"Scenarios suggest that with continued social distancing, the next wave could be mitigated as well.",whatcom,Washington
,"However, if group gatherings resume too soon, the virus’ spread could be deadlier.",whatcom,Washington
,"Lautenbach said that’s why she recommends that all summer events – including parades, community festivals and fireworks displays – should be cancelled.",whatcom,Washington
,"(More…)  “I recognize that this recommendation creates considerable disappointment,” said Lautenbach.",whatcom,Washington
,"“However, the long-term health of our community and our economy could be further damaged if we move too quickly to resume the activities that we know will put us at risk.” For more information on COVID-related recommendations, visit the Whatcom County Health Department COVID-19 webpage.",whatcom,Washington
,"For updates on WUC work to prevent the spread of the novel virus, visit WhatcomCOVID.com or the Whatcom Unified Command: COVID-19 Facebook page.",whatcom,Washington
,"WHATCOM COUNTY   Erika Lautenbach, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 26, 2020                       Media Contact:          Claudia Murphy, Public Information Officer, Whatcom Unified Command Phone:                        (360) 815-2701 E-mail address:         WUC_JIC@co.whatcom.wa.us Two Additional COVID-19 Related Deaths in Whatcom County BELLINGHAM, WA – Two additional Whatcom County residents who had tested positive for COVID-19 have died as a result of the illness.",whatcom,Washington
,This brings the total number of deaths due to novel coronavirus in Whatcom County to four.,whatcom,Washington
,"One individual, a female in her 90s, was a resident at Shuksan Healthcare Center.",whatcom,Washington
,She passed away at the facility on March 25.,whatcom,Washington
,"The other individual, a male in his 90s, was previously a resident at Summit Place Assisted Living, also in Bellingham.",whatcom,Washington
,He died while in hospital being treated for COVID-19.,whatcom,Washington
,"“Our heartfelt sympathy goes out to the family and loved ones of these two individuals,” said John Wolpers, Incident Commander for Whatcom Unified Command, on behalf of the Whatcom County Health Department.",whatcom,Washington
,"“We know this is a sad and painful time, and we mourn with them.” “We also extend deep gratitude and respect for the healthcare workers who are at the forefront of caring for our most vulnerable neighbors,” said Wolpers.",whatcom,Washington
,"“We know that their work is absolutely vital, and they are doing everything they can to provide the best possible care.” Whatcom County Health Department (WCHD) has also learned of additional confirmed cases at a small number of long term care facilities in the county.",whatcom,Washington
,The WCHD is working with each of the facilities to determine further testing needs and conduct contact investigations.,whatcom,Washington
,"Whatcom Unified Command (WUC) – which comprises the Whatcom County Health Department, Whatcom County, PeaceHealth, the City of Bellingham and other COVID-19 response agencies – are also assessing any additional resource needs for these facilities and will work to address them.",whatcom,Washington
,More detailed information about this response will be available soon.,whatcom,Washington
,"WUC has been supporting Shuksan Healthcare Center by coordinating staffing of nurses, and by providing meals and personal protective equipment for the Center.",whatcom,Washington
,WUC is working in conjunction with long term care facilities throughout the county to ensure that resource and staffing needs are provided for in order to maintain the best possible care for residents.,whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,"Updates will be made as new information is available on the Whatcom Unified Command COVID website, the Whatcom County Health Department website and the Washington State coronavirus website.",whatcom,Washington
,"### 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Erika Lautenbach, Director  Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE April 27, 2020",whatcom,Washington
,"Media Contact:           Melissa Morin, Communications Specialist Phone:                         (360) 594-2504 E-mail address:           mmorin@co.whatcom.wa.us",whatcom,Washington
,"Whatcom County Public Health Advisory Board Opens Application for COVID Business Support Task Force BELLINGHAM, WA — The Whatcom County Public Health Advisory Board (PHAB) last week voted to create a COVID Business Support Task Force, which will provide tools, best practices, and guidance for bringing businesses back to work while maintaining and improving infection control and social distancing.",whatcom,Washington
,"The Task Force will provide peer- and association-led opportunities to convene and share procedures, challenges in implementation, and group problem-solving with the goal of creating a set of best practices and guidelines for ensuring businesses have measures in place to protect their employees and customers or clients from the risk of infection with COVID-19.",whatcom,Washington
,"This important work is in alignment with, but not designed to replace, the broader economic development and recovery efforts being undertaken at the county level.",whatcom,Washington
,"“Having industry experts work together with public health to design practices that will work for businesses is a lynchpin step toward businesses reopening safely,” said Erika Lautenbach, Whatcom County Health Department Director.",whatcom,Washington
,"“We know our business and organizational partners want to do their part to prevent further infections in our community, and we’re looking forward to having creative and strategic minds work together on this.” Today, a sub-group of the PHAB, along with Whatcom Unified Command members and staff from the Health Department, finalized the goals, objectives, and timelines for the Task Force, created the membership needs, and approved an application.",whatcom,Washington
,"Applications for the Task Force and a list of membership roles will be available on the Task Force webpage (https://www.whatcomcounty.us/3398/COVID-19-Business-Support-Task-Force) by 10:00 a.m. on Tuesday, April 28.",whatcom,Washington
,"All applications can be sent to health@co.whatcom.wa.us, and individuals selected for membership will be notified following a vote of the PHAB at a special meeting on Friday, May 1 at 2:00 p.m.",whatcom,Washington
,"The application period will be open until Thursday, April 30 at 5:00 p.m.   All meetings of the Task Force will be public, and video recordings will be posted on the Task Force webpage.",whatcom,Washington
,The Task Force will also take public comment at each meeting.,whatcom,Washington
,Applicants who are not selected for the Task Force are encouraged to attend their sector meeting and provide comment at Task Force meetings.,whatcom,Washington
,"For more information about the Task Force, including purpose and establishment, please visit the Task Force page.",whatcom,Washington
,###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Regina A. Delahunt, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE February 27, 2020",whatcom,Washington
