category,diff_line,county,state
,"Tips and Tools for Implementing COVID-19 Guidance (PDF).COVID-19 Reopening Guidance for Businesses and Workers: find current guidelines and requirements for each business sector from the state’s coronavirus website.Rebound and Recovery Toolkit: From the Association of Washington Businesses, find Safe Start Plan templates, signage, and other resources.Masks and Face Covering Guidance from Washington State Department of Health.Overview of COVID-19 Statewide Face Covering Requirements.Additional ResourcesWashington State ResourcesSafe Start Webpage: general information about Washington’s Safe Start phased approachResources and Recommendations (Washington State Department of Health (DOH)): safety and health guidance and resources.Washington State Department of Labor and Industries (L&I) COVID-19 outbreak resources, General COVID-19 work place requirements, and their COVID-19 prevention summary.National ResourcesCenters for Disease Control and Prevention: updated strategies and recommendations for employers responding to COVID-19, including cleaning and disinfection, a Resuming Business Toolkit and interim guidance for businesses and employers responding to COVID-19.",whatcom,Washington
,"U.S. Department of Labor (OSHA): information on how to protect workers from potential exposures, according to their exposure risk.",whatcom,Washington
,"Information on interim guidance and other resources for preventing exposure to and infection with COVID-19.If you have general inquiries or need assistance with your safe start plans, please contact the Health Department:By email:  covid@co.whatcom.wa.usDuring business hours:  360-778-6100Information on what to do if you have an ill worker can be found on this page and in this FAQ.Sector-specific GuidanceChild Care and SchoolsChecklist for child care administratorsGuidelines for Childcare Providers & Early LearningFaith CommunityEngaging Safely with Your Religious Community during the COVID-19 outbreakFAQs for Faith-Based CommunitiesGuidance for Drive-In Religious ServicesWhat to do if a worker is sick or tests positive for COVID-19Our FAQ document outlines what to do when a worker shows signs of COVID-19 or tests positive.",whatcom,Washington
,"If you have a worker who is ill and has symptoms, or a confirmed case of COVID-19, you must contact our Business Response Team (BRT):By email: health-BRT@co.whatcom.wa.us During business hours:  (360) 778-6100After hours: (360) 715-2588General inquiries and assistance with Safe Start plans should not be sent to the BRT.",whatcom,Washington
,For general question and inquiries please contact the Health Department:By email:  covid@co.whatcom.wa.usDuring business hours:  360-778-6100Please remember that employees or volunteers who are sick should immediately be sent home and should not come to work while they are sick.,whatcom,Washington
,"Scraping from https://www.whatcomcounty.us/3369/Individuals-Families-Households#highrisk    Individuals, Families & Households		 Last updated: 2:30 p.m. Sunday, June 28, 2020.This is the latest guidance for individuals, families and households to mitigate the spread of COVID-19 in Whatcom County.Washington’s ‘Safe Start’ plan to reopening Guidance for people at higher risk for severe COVID-19 illnessGuidance for individuals to prevent COVID-19 infectionAssessing your risk  What to do if you are sick or have been exposedVisit Whatcom Unified Command’s website for information on childcare and schools and additional resources for individuals and families.",whatcom,Washington
,FAQsInformation and Recommendations May ChangeInformation continues to change frequently.,whatcom,Washington
,Check this website and our Facebook page often.,whatcom,Washington
,Sign up to receive Public Health News updates.,whatcom,Washington
,"Create a profile and select Health – Public Health News under the News Flash section with the option to receive email or text message updates.Washington’s Safe Start Plan to ReopeningOn May 29, Governor Inslee announced that the Stay Home, Stay Healthy order would be replaced with a Safe Start, Stay Healthy plan for county-by-county phased reopening.",whatcom,Washington
,"Under this new plan, Whatcom County was approved to enter Phase 2 on June 5.",whatcom,Washington
,Reopening is a dialing back of restrictions that gives individuals and businesses time to adjust and make sure we can all stay safe.,whatcom,Washington
,"For more information on what moving into Phase 2 means, read our June 5 news flash.Guidance for People at Higher Risk for Severe COVID-19 IllnessThose who are at higher risk for severe COVID-19 illness should take extra precautions to prevent exposure to the virus.The Centers for Disease Control (CDC) define people at higher risk as:People aged 65 years and olderPeople who live in a nursing home or long-term care facilityPeople with chronic lung disease or moderate to severe asthmaPeople who have serious heart conditionsPeople who have weakened immune systems, including those who have undergone cancer treatmentPeople of any age with severe obesity (body mass index [BMI] >40)People with certain underlying medical conditions, particularly if not well controlled, such as those with diabetes, renal failure, or liver diseasePeople who are pregnant should be monitored since they are known to be at risk with severe viral illness; however, data on COVID-19 has not shown increased riskDetailed guidance for people at higher risk is available from the Washington State Department of Health and the Centers for Disease Control.",whatcom,Washington
,Caregivers of children with underlying health conditions should consult with healthcare providers about whether their children should stay home.,whatcom,Washington
,Anyone who has questions about whether their condition puts them at risk for severe illness resulting from novel coronavirus should consult with their healthcare providers.Guidance for Individuals to Prevent COVID-19 InfectionPersonal prevention habits are effective for preventing COVID-19 infection.,whatcom,Washington
,These are important action steps everyone should take to protect their health.,whatcom,Washington
,"Additionally, for other community-wide actions to be most effective, people must continue to practice these habits.Wash your hands often with soap and water for at least 20 seconds.Avoid touching your eyes, nose, or mouth with unwashed hands.Avoid close contact with others.",whatcom,Washington
,Try to maintain a distance of at least six feet.Cover your mouth and nose with a tissue when you cough or sneeze.,whatcom,Washington
,"Throw the tissue in the trash and wash your hands.Clean and disinfect objects and surfaces.If you are sick, contact your healthcare provider before visiting their office.Wear a mask or cloth face covering in public spaces.",whatcom,Washington
,"Starting June 26, everyone in Washington is required to wear a cloth face covering in public when it is not possible to stay at least least six feet away from others.",whatcom,Washington
,"Visit our masks and face coverings page to learn more.If you have a caregiver, they should also take special precautions.",whatcom,Washington
,Information for Families Caring for Loved Ones is available from the Washington State Department of Health’s Health Education page.Follow the Safe Start guidelines to limit your exposure as we slowly reopen.Assessing Your RiskEach of us assess risks differently.,whatcom,Washington
,"When it comes to COVID-19, the risks you take affect you personally, and they also affect your community.",whatcom,Washington
,Each decision you make about what activities to participate requires thinking through risk factors.,whatcom,Washington
,"Read our June 25 news flash, How safe is it?",whatcom,Washington
,"A guide to COVID-19 risk, for guidance on assessing your risk.",whatcom,Washington
,What to Do if You Are Sick or Have Been Exposed See our Frequently Asked Questions page for information on what to do if you are sick with COVID-19 or think you may have been exposed to the virus.,whatcom,Washington
,"Scraping from http://whatcomcounty.us/3388/COVID-19-Testing    COVID-19 Testing		 Page updated: Tuesday July 14, 2020 at 2:25 pm Drive-Through Testing Pilot Project (July 17 and 18)Free drive-through testing will be available Friday and Saturday, July 17 and 18 from 9:30 am to 3:30 pm.",whatcom,Washington
,Where is the testing site?At the Civic Field Stadium parking lot in Bellingham.,whatcom,Washington
,"To be tested, enter the Civic Athletic Complex on Puget Street via Fraser St. You will be instructed where to drive, and should follow all instructions at the site to ensure the safety of workers, volunteers, and others seeking testing.",whatcom,Washington
,"Please note that lines may be long, that there are no public restrooms available on site, and that people are asked to remain in their vehicles while waiting.Who can get tested?Anyone can get tested for COVID-19 at the drive-through site.",whatcom,Washington
,"The pilot site is prepared to collect specimens to test from about 250-300 people per day.Do I need to make an appointment?No, during this pilot phase we will not be scheduling appointments for testing.",whatcom,Washington
,What does testing cost?Nothing.,whatcom,Washington
,Insurance companies are required to waive co-pays and deductibles for anyone being tested for COVID-19.,whatcom,Washington
,"For people without insurance, costs will be covered by a Health Resources and Services Administration program.",whatcom,Washington
,"Additional information about insurance coverage and testing costs are available on our FAQs page.What should I bring?Bring personal identification and your insurance card, if you have them.",whatcom,Washington
,"Even if you do not have an ID card or insurance, you can still be tested.",whatcom,Washington
,Personal information is collected only for the purpose of communicating with individuals about their test results.,whatcom,Washington
,"Please do not bring your pets, as they may be disruptive during the sample collection.When will I get results?Tests will be processed by Northwest Laboratory and results will be shared with individuals within 72 hours, with priority on notifying individuals who have tested positive.",whatcom,Washington
,"You will be notified of positive results by phone, and those with negative results will be notified with a text message.",whatcom,Washington
,Please let the person checking you in at the testing site know if your phone cannot receive text messages.Please do not call the health department or Northwest Labs to request test results.,whatcom,Washington
,"We will let you know as soon as results are available.Will there be more drive-through testing available?Following the two days of testing, WCHD and WUC will assess the testing process and refine it with additional planning for an ongoing low-barrier, drive-through testing site.",whatcom,Washington
,"Getting tested through your healthcare providerTo schedule an appointment for testing, you may contact your healthcare provider and make an appointment.",whatcom,Washington
,"The healthcare provider will then either collect a specimen from you or issue a referral for a testing center, where you can make an appointment.Who can get tested?Anyone can get tested.",whatcom,Washington
,"However, healthcare providers are focusing on people with symptoms of COVID-19 and their contacts.",whatcom,Washington
,"Even if you have mild symptoms, please get tested.Should I get tested?If you have COVID-19 symptoms you should get a test.",whatcom,Washington
,"Even if your symptoms are mild, getting a test can be informative and help you know if you are currently contagious.",whatcom,Washington
,"If you have been in close contact with a confirmed case, you should get tested.",whatcom,Washington
,"How do I get a test from my healthcare provider?Talk to your provider, who will help you determine if you need to be tested.",whatcom,Washington
,"If you do not have a regular healthcare provider, work with your insurance company to find one.",whatcom,Washington
,"Visit our FAQs page for information about what to do if you don’t have insurance.If you can’t get scheduled for testing quickly or are not eligible for insurance, please call the Health Department at 360-778-6100 between 8:30 and 4:30 Monday through Friday for assistance.What does testing cost?Insurance companies are required to waive co-pays and deductibles for anyone requiring testing for COVID-19.",whatcom,Washington
,Additional information insurance coverage and testing costs are available on our FAQs page.Testing locationsTesting in Whatcom County is currently being performed at several locations.,whatcom,Washington
,"Northwest Laboratory at 3548 Meridian Street, Suite 101 in Bellingham offers drive-through testing for patients who have referrals and have made appointments.",whatcom,Washington
,"If you have a physician’s referral, call 360-527-4592 to schedule an appointment.",whatcom,Washington
,"Visit their website for more information.These clinics provide testing assistance:Care Medical GroupFor more information call 360-734-4300 or visit their website.Family Care NetworkFor more information on COVID-19 services and clinic locations visit their website.Lummi Tribal ClinicFor more information call 360-384-0464.Nooksack Tribal ClinicFor more information call 360-966-2106 or visit their website.PeaceHealth Medical GroupFor more information call 360-738-2200 or visit their website.Sea Mar Community Health CentersFor more information call 360-671-3225 or visit their website.Western Washington’s Student Health CenterFor more information call 360-650-3400 or visit their website.If you are a healthcare provider or provide laboratory services and would like your organization added to this website, please contact the Whatcom County Health Department.This page is updated as new information on testing in Whatcom County becomes available.",whatcom,Washington
,Scraping from https://kitsappublichealth.org/CommunityHealth/CoronaVirus.php   Scraping from https://kitsappublichealth.org/CommunityHealth/CoronaVirus.php                                                                           Safe Start Plan                                                                Kitsap County applied on June 19 to move from Phase 2 to Phase 3 of the  state’s Safe  Start plan for COVID-19 recovery.,kitsap,Washington
,"On July 14, Gov.",kitsap,Washington
,Jay Inslee announced that all county Safe  Start applications would be placed on pause for two additional weeks in  response to increasing COVID-19 activity.,kitsap,Washington
,Kitsap County’s Phase  3 application is on pause until at least July 28.,kitsap,Washington
,"View a ""Kitsap County Safe Start Report Card"" updated July 16                                  Check coronavirus.wa.gov and governor.wa.gov for updates.",kitsap,Washington
,"Scraping from https://www.kitsapgov.com/Pages/coronavirus.aspx          Kitsap  Kitsap County COVID-19 Resources and Information       				Kitsap County COVID-19 Resources and Information 			      Page Content   State places all counties' Safe Start applications on pauseOn July 2, Gov.",kitsap,Washington
,UPDATE: COVID-19 continues to be a serious threat in Washington state.,kitsap,Washington
,Kitsap County remains in Phase 2 until at least     July 28.,kitsap,Washington
,Rental relief grants available to Kitsap small businessesKitsap County partners with KEDA to offer small business assistance grants.,kitsap,Washington
,"View the press release for more information, timeline and application process.",kitsap,Washington
,Pathway to Recovery Playbook We gathered Gov.,kitsap,Washington
,"Jay Inslee's guidelines for a Safe Start in one place, the        Kitsap County Pathway to Recovery Playbook, to make them easier for local businesses to find.",kitsap,Washington
,"The latest version was updated on July 10, 2020.The Pathway to Recovery Playbook was developed by the Kitsap County Department of Emergency Management to help our community understand and safely embark upon our phased opening.",kitsap,Washington
,Similar resources are in the state's        Safe Start COVID-19 Recovery Plan.,kitsap,Washington
,Latest UpdatesThe daily update includes the latest COVID-19 testing results from Kitsap Public Health and a few headlines we think you should know about.,kitsap,Washington
,"Subscribe to get daily updates by email or text.Daily EOC Update - 07/17/2020 Daily EOC Update - 07/16/2020 Daily EOC Update - 07/15/2020 Daily EOC Update - 07/14/2020 Daily EOC Update - 07/13/2020 Daily EOC Update - 07/12/2020 Older UpdatesDaily EOC Update - 07/11/2020Daily EOC Update - 07/10/2020Daily EOC Update - 07/09/2020Daily EOC Update - 07/08/2020Daily EOC Update - 07/07/2020Daily EOC Update - 07/06/2020Daily EOC Update - 07/05/2020Daily EOC Update - 07/04/2020Daily EOC Update - 07/03/2020Daily EOC Update - 07/02/2020Daily EOC Update - 07/01/2020 Daily EOC Update - 06/30/2020 Daily EOC Update - 06/29/2020 Daily EOC Update - 06/28/2020 Daily EOC Update - 06/27/2020 Daily EOC Update - 06/26/2020 Daily EOC Update - 06/25/2020 Daily EOC Update - 06/24/2020 Daily EOC Update - 06/23/2020 Daily EOC Update - 06/22/2020 Daily EOC Update - 06/21/2020 Daily EOC Update - 06/20/2020 Daily EOC Update - 06/19/2020 Daily EOC Update - 06/18/2020 Daily EOC Update - 06/17/2020 Daily EOC Update - 06/16/2020 Daily EOC Update - 06/15/2020 Daily EOC Update - 06/14/2020 Daily EOC Update - 06/13/2020 Daily EOC Update - 06/12/2020 Daily EOC Update - 06/11/2020 Daily EOC Update - 06/10/2020 Daily EOC Update - 06/09/2020 Daily EOC Update - 06/08/2020 Daily EOC Update - 06/07/2020 Daily EOC Update - 06/06/2020 Daily EOC Update - 06/05/2020 Daily EOC Update - 06/04/2020 Daily EOC Update - 06/03/2020 Daily EOC Update - 06/02/2020 Daily EOC Update - 06/01/2020 Daily EOC Update - 05/31/2020 Daily EOC Update - 05/30/2020 Daily EOC Update - 05/29/2020 Daily EOC Update - 05/28/2020 Kitsap County approved for Phase 2 of Safe Start recovery plan - 5/28/2020 Daily EOC Update - 05/27/2020 Daily EOC Update - 05/26/2020 Kitsap County publishes a ""Playbook"" for reopening - 05/26/2020 Daily EOC Update - 05/25/2020 Daily EOC Update - 05/24/2020 Daily EOC Update - 05/23/2020 Daily EOC Update - 05/22/2020 Daily EOC Update - 05/21/2020 Daily EOC Update - 05/20/2020 Daily EOC Update - 05/19/2020 Kitsap Public Health statement regarding Safe Start variance eligibility - 05/19/2020 Daily EOC Update - 05/18/2020 Daily EOC Update - 05/17/2020 Daily EOC Update - 05/16/2020 Daily EOC Update - 05/15/2020 Daily EOC Update - 05/14/2020 Kitsap County preparing for next steps on path to reopening, recovery - 05/14/2020 Daily EOC Update - 05/13/2020 Daily EOC Update - 05/12/2020 Daily EOC Update - 05/11/2020 Daily EOC Update - 05/10/2020 Daily EOC Update - 05/09/2020 Daily EOC Update - 05/08/2020 Daily EOC Update - 05/07/2020 Daily EOC Update - 05/06/2020 Daily EOC Update - 05/05/2020 Daily EOC Update - 05/04/2020 Daily EOC Update - 05/03/2020 Daily EOC Update - 05/02/2020 Daily EOC Update - 05/01/2020 Daily EOC Update - 04/30/2020 Daily EOC Update - 04/29/2020 Daily EOC Update - 04/28/2020 Kitsap Public Health Community Health and Well-Being Survey Daily EOC Update - 04/27/2020 Daily EOC Update - 04/26/2020 Daily EOC Update - 04/25/2020 Daily EOC Update - 04/24/2020 Daily EOC Update - 04/23/2020 Daily EOC Update - 04/22/2020 Daily EOC Update - 04/21/2020 Daily EOC Update - 04/20/2020 Daily EOC Update - 04/19/2020 Daily EOC Update - 04/18/2020 Daily EOC Update - 04/17/2020 Daily EOC Update - 04/16/2020 Daily EOC Update - 04/15/2020 Daily EOC Update - 04/14/2020 Kitsap drive-up COVID-19 testing site reopens - 04/13/2020 Daily EOC Update - 04/13/2020 Quarantine and Isolation Care Center in South Kitsap open - 04/13/2020 Daily EOC Update - 04/12/2020 Daily EOC Update - 04/11/2020 Daily EOC Update - 04/10/2020 Daily EOC Update -04/09/2020 Daily EOC Update - 04/08/2020 Daily EOC Update- 04/07/2020 Kitsap County launches its first drive-through testing site for COVID-19 - 04/7/2020 Daily EOC Update - 04/06/2020 Daily EOC Update - 04/05/2020 Daily EOC Update - 04/04/2020 Daily EOC Update - 04/03/2020 New Kitsap Cares website for community resources – and ways to help - 04/03/2020 Isolation and Quarantine Centers on Kitsap's Horizon - 04/03/2020 Daily EOC Update - 04/02/2020    Daily EOC Update - 04/01/2020 Daily EOC Update - 03/31/2020 Daily EOC Update - 03/30/2020 Daily EOC Update - 03/29/2020 Daily EOC Update - 03/28/2020 Daily EOC Update - 03/27/2020 Daily EOC Update - 03/26/2020 Daily EOC Update - 03/25/2020   Face Coverings Use the resources listed here to better understand the state Secretary of Health's order requiring face coverings.",kitsap,Washington
,"Whether or not those around you are wearing face coverings, focus on keeping six feet of distance between you and others, and wash your hands often.Get more information about face coverings from the Department of Health.Here are helpful answers to frequently asked questions about masks including about their effectiveness and information on the face covering requirement.Face covering requirements for individualsFree masks for qualifying householdsAs part of a statewide program, the Kitsap County Emergency Operations Center received 106,000 cloth face masks to distribute to low-income individuals through local social service agencies and organizations starting July 1.",kitsap,Washington
,"Two free masks are available for every person with an income at or below 200% of the federal poverty level.To access the free masks, call 2-1-1 between 7 a.m. to 7 p.m. seven days a week for direction to one of 66 distribution locations across the county.Read the Secretary of Health's order requiring individuals to wear face coverings in public and related guidance on cloth face coverings from the Department of Health.Face covering requirements for businesses/employersOverview of the order that businesses must require employees, customers and visitors wear masks.Read Gov.",kitsap,Washington
,"Jay Inslee's order requiring employees to wear face coverings in the workplace.Determine ""Which Mask for Which Task?""",kitsap,Washington
,"Explore commonly asked questions about face coverings in the workplace.How to report a concernVisit Kitsap Public Health District's site to submit a concern about private individuals not following the masking requirements.For concerns about employees at a business, contact Washington State Department of Labor and Industries at (800) 423-7233 or email adag235@lni.wa.gov.",kitsap,Washington
,Customers who are concerned that a business is not adequately enforcing the face mask order or other Safe Start requirements can submit an anonymous complaint.,kitsap,Washington
,Quarantine and Isolation Care CenterThe KCEOC has opened a temporary quarantine and isolation care center in South Kitsap for people who have been exposed to or tested positive for COVID-19.,kitsap,Washington
,Scam Alerts and Rumor ControlWashington State Employment Security Division is warning of fraudulent unemployment claims and scam websites designed to steal personal information.,kitsap,Washington
,"If you become aware of unemployment fraud or suspect you were a victim,                 report it here.Cybercriminals are taking advantage of fears surrounding the Coronavirus.",kitsap,Washington
,WaTech's state Office of Cybersecurity has information on how to protect yourself online.Attorney General Bob Ferguson’s office is                   investigating complaints of price gouging and scams in the COVID-19 public-health crisis.,kitsap,Washington
,Washingtonians are able to                   file a complaint online.,kitsap,Washington
,Washington has a Spread the Facts campaign where you can find information about common rumors and help spread the truth about what is happening in Washington State as part of the coronavirus response.,kitsap,Washington
,Attorney General Bob Ferguson warns Washingtonians about                  scams related to stimulus payments from the federal government to help people get through the coronavirus pandemic.FEMA's                 Coronavirus Rumor Control page can help you distinguish between rumors and facts regarding the coronavirus pandemic response.Puget Sound Energy will               not disconnect customers for non-payment and they will not call you threatening to disconnect or come to your door.,kitsap,Washington
,Learn how to protect yourself at the Federal Trade Commission's Coronavirus Scams page.,kitsap,Washington
,How You Can Help (in addition to staying home)Visit the Kitsap Community Foundation's         Kitsap Cares page to find more ways to help other people during the coronavirus pandemic.,kitsap,Washington
,"DONATE PERSONAL PROTECTIVE EQUIPMENT (PPE)The State of Washington is seeking to fill shortages of specific personal protective equipment (PPE) and infection-control products to support our medical system, first responders, public health and care facilities.",kitsap,Washington
,Visit the Kitsap Community Foundation's              Kitsap Cares page for a list of local places to donate supplies.,kitsap,Washington
,"HELP OTHERS - MUTUAL AIDReach out via phone, text, email, or video chat to check on neighbors, friends, and family.Visit the Kitsap Community Foundation's                 Kitsap Cares page for more ways to help people in our community.Kitsap County Human Services Housing and Homelessness Division has created                 resources for helping people living homeless.",kitsap,Washington
,DONATE BLOODThere's a vital need for blood donors right now.,kitsap,Washington
,"If you have recovered from COVID-19, your blood may                   help people who are currently sick with the disease.",kitsap,Washington
,APPLY YOUR MEDICAL SKILLS       Medical practitioners are needed.,kitsap,Washington
,"Need Help by Phone?If you have questions about what is happening in Washington, or how the virus is spread, please call 1-800-525-0127 and press # from 6 am to 10 pm, seven days a week.",kitsap,Washington
,"For testing inquiries or results, please contact your health care provider.You can also text the word “Coronavirus” to 211211 to receive information and updates wherever you are.",kitsap,Washington
,"You will receive links to the latest information on COVID-19, including county-level updates, and resources for families, businesses, students, and more.Call 911 only for life-threatening emergencies.",kitsap,Washington
,"Emergency response is available 24/7.Visit the Kitsap Community Foundation's              Kitsap Cares page for hotlines, including domestic violence, suicide, and mental health.",kitsap,Washington
,"Health Information and COVID-19 DataKITSAP COUNTY Kitsap Public Health District - COVID-19   WASHINGTON STATE Washington Department of Health - 2019 Novel Coronavirus Outbreak Washington State Coronavirus Response  FEDERAL  Centers for Disease Control and Prevention - Coronavirus (COVID-19) HEALTH INSURANCE Washington Insurance Commissioner - Coronavirus and Health Insurance for consumers, insurers, and medical providers.",kitsap,Washington
,Free or low-cost                      Apple Health is available year-round from the Washington Health Benefit Exchange.,kitsap,Washington
